features,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15
ENSG00000272141.1,0,0,0,0,0,0,4,0,1,0,0,0
ENSG00000205231.1,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000162571.14,4,1,1,0,1,1,1,0,2,0,1,0
ENSG00000186891.14,4497,4066,2235,0,3568,4874,0,3754,1783,3650,0,4476
ENSG00000186827.12,6433,5675,5768,57,4355,6825,26,4646,4735,12272,42,6033
ENSG00000078808.20,8629,8840,6545,5170,8029,9252,4103,8453,5796,7787,4608,11268
ENSG00000176022.7,1617,1635,1531,2689,1678,1678,2264,1715,1460,1760,2638,2184
ENSG00000184163.3,1,2,3,21,2,3,14,0,2,2,10,3
ENSG00000260179.1,5,2,5,2,6,7,2,9,6,2,6,3
ENSG00000160087.21,2020,2076,1930,2475,1913,1951,2084,1977,1754,1937,2745,2363
ENSG00000230415.1,2,3,2,9,5,9,13,2,2,1,9,4
ENSG00000162572.21,17,10,28,69,14,19,62,25,22,17,74,17
ENSG00000131584.19,2704,2760,1984,2742,2517,2849,2315,2586,1830,1318,2565,3899
ENSG00000278073.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169972.12,559,547,812,1110,583,619,1028,604,793,777,1134,771
ENSG00000127054.22,6129,5832,5903,5931,5525,6724,4502,6090,5359,5959,5485,8017
ENSG00000283712.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240731.1,3,1,1,8,2,2,3,4,5,3,9,2
ENSG00000224051.7,1766,1804,1437,848,1482,1933,670,1503,1251,1176,827,2033
ENSG00000169962.5,29,25,8,82,16,35,89,29,20,26,76,47
ENSG00000107404.21,1307,1231,863,1822,1014,1351,1531,1240,809,817,1723,1617
ENSG00000284372.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000162576.17,3,1,3,0,1,3,11,0,4,4,7,1
ENSG00000175756.14,2951,2978,4182,4156,3128,3107,3894,3051,3956,3650,4836,3371
ENSG00000223663.2,0,1,0,0,0,0,0,0,0,0,2,0
ENSG00000221978.13,3777,3468,1895,3769,2481,3284,3281,2708,1768,2215,3876,3417
ENSG00000224870.9,652,699,716,1426,534,650,1047,651,655,616,1261,697
ENSG00000242485.6,1630,1559,2132,2281,1484,1632,2013,1548,2225,2091,2725,1720
ENSG00000264293.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000272455.1,6,8,9,22,10,8,33,10,5,4,26,15
ENSG00000235098.9,0,0,0,1,2,2,1,1,0,0,0,0
ENSG00000225905.1,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000205116.4,1,0,0,3,0,0,0,0,0,0,2,0
ENSG00000225285.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000179403.12,6,6,7,2,8,1,1,10,9,19,2,21
ENSG00000215915.10,51,47,19,112,73,47,91,69,14,10,106,89
ENSG00000160072.20,3125,3066,2941,4068,3617,3308,3230,3892,2694,3589,3980,5403
ENSG00000290916.1,0,0,0,4,0,0,5,0,1,0,3,0
ENSG00000284740.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197785.14,3504,3265,3991,7407,3706,3583,5913,3881,3664,4186,6855,5500
ENSG00000205090.9,2,0,2,3,0,1,6,0,0,0,2,1
