"","ensembl_gene_id_version","external_gene_name","ensembl_gene_id"
"33262","ENSG00000111057.11","KRT18","ENSG00000111057"
"33263","ENSG00000111058.8","ACSS3","ENSG00000111058"
"33264","ENSG00000111077.18","TNS2","ENSG00000111077"
"33265","ENSG00000111087.10","GLI1","ENSG00000111087"
"33266","ENSG00000111110.12","PPM1H","ENSG00000111110"
"33267","ENSG00000111142.14","METAP2","ENSG00000111142"
"33268","ENSG00000111144.10","LTA4H","ENSG00000111144"
"33269","ENSG00000111145.8","ELK3","ENSG00000111145"
"33270","ENSG00000111181.13","SLC6A12","ENSG00000111181"
"33271","ENSG00000111186.13","WNT5B","ENSG00000111186"
"33272","ENSG00000111196.10","MAGOHB","ENSG00000111196"
"33273","ENSG00000111203.13","ITFG2","ENSG00000111203"
"33274","ENSG00000111206.13","FOXM1","ENSG00000111206"
"33275","ENSG00000111215.12","PRR4","ENSG00000111215"
"33276","ENSG00000111218.12","PRMT8","ENSG00000111218"
"33277","ENSG00000111224.14","PARP11","ENSG00000111224"
"33278","ENSG00000111241.3","FGF6","ENSG00000111241"
"33279","ENSG00000111247.15","RAD51AP1","ENSG00000111247"
"33280","ENSG00000111254.8","AKAP3","ENSG00000111254"
"33281","ENSG00000111261.14","MANSC1","ENSG00000111261"
"33282","ENSG00000111262.6","KCNA1","ENSG00000111262"
"33283","ENSG00000111266.9","DUSP16","ENSG00000111266"
"33284","ENSG00000111269.3","CREBL2","ENSG00000111269"
"33285","ENSG00000111276.12","CDKN1B","ENSG00000111276"
"33286","ENSG00000111291.9","GPRC5D","ENSG00000111291"
"33287","ENSG00000111305.19","GSG1","ENSG00000111305"
"33288","ENSG00000111319.13","SCNN1A","ENSG00000111319"
"33289","ENSG00000111321.11","LTBR","ENSG00000111321"
"33290","ENSG00000111339.12","ART4","ENSG00000111339"
"33291","ENSG00000111341.10","MGP","ENSG00000111341"
"33292","ENSG00000111348.9","ARHGDIB","ENSG00000111348"
"33293","ENSG00000111371.16","SLC38A1","ENSG00000111371"
"33294","ENSG00000111404.7","RERGL","ENSG00000111404"
"33295","ENSG00000111405.9","ENDOU","ENSG00000111405"
"33296","ENSG00000111424.12","VDR","ENSG00000111424"
"33297","ENSG00000111481.10","COPZ1","ENSG00000111481"
"33298","ENSG00000111490.15","TBC1D30","ENSG00000111490"
"33299","ENSG00000111530.13","CAND1","ENSG00000111530"
"33300","ENSG00000111536.5","IL26","ENSG00000111536"
"33301","ENSG00000111537.5","IFNG","ENSG00000111537"
"33302","ENSG00000111540.16","RAB5B","ENSG00000111540"
"33303","ENSG00000111554.15","MDM1","ENSG00000111554"
"33304","ENSG00000111581.10","NUP107","ENSG00000111581"
"33305","ENSG00000111596.14","CNOT2","ENSG00000111596"
"33306","ENSG00000111602.12","TIMELESS","ENSG00000111602"
"33307","ENSG00000111605.18","CPSF6","ENSG00000111605"
"33308","ENSG00000111615.14","KRR1","ENSG00000111615"
"33309","ENSG00000111639.8","MRPL51","ENSG00000111639"
"33310","ENSG00000111640.15","GAPDH","ENSG00000111640"
"33311","ENSG00000111642.16","CHD4","ENSG00000111642"
"33312","ENSG00000111644.8","ACRBP","ENSG00000111644"
"33313","ENSG00000111647.13","BLTP3B","ENSG00000111647"
"33314","ENSG00000111652.10","COPS7A","ENSG00000111652"
"33315","ENSG00000111653.20","ING4","ENSG00000111653"
"33316","ENSG00000111664.11","GNB3","ENSG00000111664"
"33317","ENSG00000111665.12","CDCA3","ENSG00000111665"
"33318","ENSG00000111667.14","USP5","ENSG00000111667"
"33319","ENSG00000111669.15","TPI1","ENSG00000111669"
"33320","ENSG00000111671.10","SPSB2","ENSG00000111671"
"33321","ENSG00000111674.9","ENO2","ENSG00000111674"
"33322","ENSG00000111676.15","ATN1","ENSG00000111676"
"33323","ENSG00000111678.11","C12orf57","ENSG00000111678"
"33324","ENSG00000111679.17","PTPN6","ENSG00000111679"
"33325","ENSG00000111684.11","LPCAT3","ENSG00000111684"
"33326","ENSG00000111700.13","SLCO1B3","ENSG00000111700"
"33327","ENSG00000111701.7","APOBEC1","ENSG00000111701"
"33328","ENSG00000111704.11","NANOG","ENSG00000111704"
"33329","ENSG00000111711.10","GOLT1B","ENSG00000111711"
"33330","ENSG00000111713.3","GYS2","ENSG00000111713"
"33331","ENSG00000111716.14","LDHB","ENSG00000111716"
"33332","ENSG00000111726.13","CMAS","ENSG00000111726"
"33333","ENSG00000111728.11","ST8SIA1","ENSG00000111728"
"33334","ENSG00000111729.15","CLEC4A","ENSG00000111729"
"33335","ENSG00000111731.13","C2CD5","ENSG00000111731"
"33336","ENSG00000111732.12","AICDA","ENSG00000111732"
"33337","ENSG00000111752.11","PHC1","ENSG00000111752"
"33338","ENSG00000111788.10","DDX12B","ENSG00000111788"
"33339","ENSG00000111790.14","FGFR1OP2","ENSG00000111790"
"33340","ENSG00000111796.4","KLRB1","ENSG00000111796"
"33341","ENSG00000115934.11","LINC02566","ENSG00000115934"
"33342","ENSG00000118094.12","TREH","ENSG00000118094"
"33343","ENSG00000118096.10","IFT46","ENSG00000118096"
"33344","ENSG00000118113.12","MMP8","ENSG00000118113"
"33345","ENSG00000118137.10","APOA1","ENSG00000118137"
"33346","ENSG00000118181.11","RPS25","ENSG00000118181"
"33347","ENSG00000118307.20","DNAI7","ENSG00000118307"
"33348","ENSG00000118308.16","IRAG2","ENSG00000118308"
"33349","ENSG00000118363.13","SPCS2","ENSG00000118363"
